date,open,high,low,adjClose,value,volume,count,close,jdate
2021-05-01,19006,18626,18626,18626,88622508,4758,5,19003,2021-05-01
2021-05-02,19003,18623,18623,18623,168612642,9054,7,18996,2021-05-02
