date,open,high,low,adjClose,value,volume,count,close,jdate
2021-05-01,7910,7880,7680,7690,21804114230,2823523,535,7860,2021-05-01
2021-05-02,7860,7790,7630,7630,33794381540,4422044,416,7770,2021-05-02
