date,open,high,low,adjClose,value,volume,count,close,jdate
2021-05-01,4600,4470,4470,4470,660835860,147838,35,4600,2021-05-01
2021-05-02,4600,4470,4470,4470,388644150,86945,15,4599,2021-05-02
