date,open,high,low,adjClose,value,volume,count,close,jdate
2021-05-01,5929,5752,5752,5752,686777296,119398,14,5926,2021-05-01
2021-05-02,5926,5749,5749,5749,637730821,110929,11,5924,2021-05-02
