date,open,high,low,adjClose,value,volume,count,close,jdate
2021-05-01,7890,7660,7660,7660,8919288680,1164398,45,7850,2021-05-01
2021-05-02,7850,7620,7620,7620,795855660,104443,18,7850,2021-05-02
