date,open,high,low,adjClose,value,volume,count,close,jdate
2021-05-01,8875,8875,8609,8609,122919245377,14223474,1809,8642,2021-05-01
2021-05-02,8642,8560,8383,8383,169767161147,20243200,2606,8386,2021-05-02
