date,open,high,low,adjClose,value,volume,count,close,jdate
2021-05-01,12530,12160,12160,12160,6135133440,504534,16,12510,2021-05-01
2021-05-02,12510,12140,12140,12140,8291328640,682976,19,12480,2021-05-02
