date,open,high,low,adjClose,value,volume,count,close,jdate
2021-05-01,14042,13762,13762,13762,1156957578,84069,13,14025,2021-05-01
2021-05-02,14025,13745,13745,13745,144652380,10524,5,14023,2021-05-02
