,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2099,2011-02-27,9441,136,0,1,3182660,792340,0,3968600,5251389000,1307361000,0,6548190000,1650.0,,1650.0,1650.0,3176260.0,1389-12-08
2098,2011-02-28,1,0,1,0,150,0,150,0,259800,0,259800,0,1732.0,1732.0,,,0.0,1389-12-09
2097,2011-03-01,21,1,1,1,30200,1201,1,31400,54903600,2183418,1818,57085200,1818.0,1818.0,1818.0,1818.0,30199.0,1389-12-10
2096,2011-03-02,168,4,7,1,211156,11850,193006,30000,402885648,22609800,368255448,57240000,1908.0,1908.0,1908.0,1908.0,18150.0,1389-12-11
2095,2011-03-05,532,19,35,1,1082500,161731,1244131,100,2168247500,323947193,2491994393,200300,2003.0,2003.0,2003.0,2003.0,-161631.0,1389-12-14
2094,2011-03-06,456,6,22,1,1076410,90800,667210,500000,2263690230,190952400,1403142630,1051500000,2103.0,2103.0,2103.0,2103.0,409200.0,1389-12-15
2093,2011-03-07,528,9,49,1,1475052,73600,1278652,270000,3256914816,162508800,2823263616,596160000,2208.0,2208.0,2208.0,2208.0,196400.0,1389-12-16
2092,2011-03-08,7,0,12,1,9429,0,8429,1000,21856422,0,19538422,2318000,2318.0,2318.0,,2318.0,1000.0,1389-12-17
2091,2011-03-09,81,3,21,0,185421,16700,202121,0,451129293,40631100,491760393,0,2433.0,2433.0,2433.0,,-16700.0,1389-12-18
2090,2011-03-12,10,0,12,1,2660,0,2540,120,6793640,0,6487160,306480,2554.0,2554.0,,2554.0,120.0,1389-12-21
2089,2011-03-13,40,0,22,0,42160,0,42160,0,113030960,0,113030960,0,2681.0,2681.0,,,0.0,1389-12-22
2088,2011-03-14,313,6,66,1,953050,33785,980435,6400,2682835750,95104775,2759924525,18016000,2815.0,2815.0,2815.0,2815.0,-27385.0,1389-12-23
2087,2011-03-15,461,8,50,2,1393783,45157,1435440,3500,4118628765,133438935,4241725200,10342500,2955.0,2955.0,2955.0,2955.0,-41657.0,1389-12-24
2086,2011-03-16,803,12,628,19,6152282,314275,5179076,1282481,19084378764,974881050,16065493752,3978256062,3102.0,3102.0,3102.0,3102.0,968206.0,1389-12-25
2085,2011-03-19,318,4,160,7,1752934,53500,1732184,71750,5709306038,174249500,5641723288,233689750,3257.0,3257.0,3257.0,3257.0,18250.0,1389-12-28
2084,2011-03-26,178,3,31,1,773747,12500,776247,5000,2645440993,42737500,2653988493,17095000,3419.0,3419.0,3419.0,3419.0,-7500.0,1390-01-06
