date,open,high,low,adjClose,value,volume,count,close,jdate
2020-09-12,1350.0,1350.0,1350.0,1350.0,7140150,5289,3,1350.0,1399-06-22
2020-09-13,1410.0,1410.0,1410.0,1350.0,335354400,237840,27,1410.0,1399-06-23
2020-09-15,1410.0,1410.0,1410.0,1350.0,82232610,58321,4,1410.0,1399-06-25
2020-09-16,1410.0,1410.0,1410.0,1350.0,176075160,124876,4,1410.0,1399-06-26
2020-09-19,1410.0,1410.0,1410.0,1350.0,129471840,91824,5,1410.0,1399-06-29
2020-09-20,1410.0,1410.0,1410.0,1350.0,269126700,190870,7,1410.0,1399-06-30
2020-09-21,1410.0,1410.0,1410.0,1350.0,122605140,86954,3,1410.0,1399-06-31
2020-09-22,1410.0,1410.0,1410.0,1350.0,37872600,26860,13,1410.0,1399-07-01
2020-09-23,1410.0,1410.0,1410.0,1350.0,234968040,166644,6,1410.0,1399-07-02
2020-09-26,1410.0,1410.0,1410.0,1350.0,2608277220,1849842,65,1410.0,1399-07-05
2020-09-27,1410.0,1410.0,1410.0,1350.0,3740937270,2653147,68,1410.0,1399-07-06
2020-09-28,1410.0,1410.0,1410.0,1350.0,2263935480,1605628,55,1410.0,1399-07-07
2020-09-29,1410.0,1410.0,1410.0,1350.0,2706850320,1919752,45,1410.0,1399-07-08
2020-09-30,1410.0,1410.0,1410.0,1350.0,2162645310,1533791,69,1410.0,1399-07-09
2020-10-03,1410.0,1410.0,1410.0,1350.0,3998979960,2836156,74,1410.0,1399-07-12
2020-10-04,1410.0,1410.0,1410.0,1360.0,5172163410,3668201,114,1410.0,1399-07-13
2020-10-05,1420.0,1420.0,1420.0,1360.0,3292480160,2318648,58,1420.0,1399-07-14
2020-10-06,1420.0,1420.0,1420.0,1370.0,4760574140,3352517,115,1420.0,1399-07-15
2020-10-07,1430.0,1430.0,1310.0,1380.0,17855493850,12651867,641,1430.0,1399-07-16
2020-10-10,1440.0,1440.0,1320.0,1390.0,12188650860,8483003,456,1440.0,1399-07-19
2020-10-11,1440.0,1450.0,1340.0,1400.0,12284957180,8560350,749,1440.0,1399-07-20
2020-10-12,1440.0,1470.0,1340.0,1410.0,12547022710,8675039,615,1470.0,1399-07-21
2020-10-13,1450.0,1480.0,1380.0,1420.0,9488766730,6478312,506,1480.0,1399-07-22
2020-10-14,1440.0,1480.0,1350.0,1420.0,10052172140,7102836,491,1440.0,1399-07-23
2020-10-18,1370.0,1400.0,1350.0,1410.0,6428809160,4727507,311,1360.0,1399-07-27
2020-10-19,1340.0,1340.0,1340.0,1410.0,889705060,663959,59,1340.0,1399-07-28
2020-10-20,1340.0,1340.0,1340.0,1410.0,481554460,359369,35,1340.0,1399-07-29
2020-10-21,1340.0,1340.0,1340.0,1410.0,568633020,424353,60,1340.0,1399-07-30
2020-11-11,1340.0,1340.0,1340.0,1410.0,1849568500,1380275,56,1340.0,1399-08-21
2020-11-14,1340.0,1340.0,1340.0,1410.0,673548320,502648,42,1340.0,1399-08-24
2020-11-15,1340.0,1340.0,1340.0,1410.0,235488920,175738,19,1340.0,1399-08-25
2020-11-16,1340.0,1340.0,1340.0,1410.0,2672721120,1994568,52,1340.0,1399-08-26
