date,open,high,low,adjClose,value,volume,count,close,jdate
2020-09-08,3740.0,3740.0,3740.0,3740.0,53096032000,14196800,286,3740.0,1399-06-18
2020-09-20,4150.0,4150.0,4150.0,4150.0,1660000000,400000,16,4150.0,1399-06-30
2020-09-22,4699.0,4699.0,4699.0,4699.0,1292225000,275000,6,4699.0,1399-07-01
2020-09-26,5300.0,5300.0,5300.0,5300.0,265000000,50000,1,5300.0,1399-07-05
2020-10-07,4850.0,4850.0,4850.0,4850.0,6547500000,1350000,56,4850.0,1399-07-16
2020-10-26,5092.0,5092.0,5092.0,5092.0,8656400000,1700000,66,5092.0,1399-08-05
2020-10-28,5322.0,5322.0,5322.0,5322.0,9386070792,1763636,73,5322.0,1399-08-07
2020-11-09,5350.0,5630.0,5350.0,5350.0,8168155300,1526758,31,5350.0,1399-08-19
2020-11-22,5617.0,5617.0,5617.0,5617.0,12505486588,2226364,45,5617.0,1399-09-02
2020-12-06,5617.0,5617.0,5617.0,5617.0,5000000635,890155,37,5617.0,1399-09-16
2020-12-12,5617.0,5617.0,5617.0,5617.0,842550000,150000,3,5617.0,1399-09-22
2020-12-20,5617.0,5617.0,5617.0,5617.0,40816509051,7266603,206,5617.0,1399-09-30
2020-12-27,5617.0,5617.0,5617.0,5617.0,6459550000,1150000,23,5617.0,1399-10-07
2020-12-28,5880.0,5880.0,5880.0,5880.0,1764000000,300000,6,5880.0,1399-10-08
2021-01-02,6170.0,6170.0,6170.0,6170.0,7070807660,1145998,41,6170.0,1399-10-13
2021-01-10,6445.0,6445.0,6445.0,6445.0,3093600000,480000,24,6445.0,1399-10-21
2021-01-16,6445.0,6445.0,6445.0,6445.0,7924855785,1229613,47,6445.0,1399-10-27
2021-01-19,6767.0,6767.0,6767.0,6767.0,5075250000,750000,31,6767.0,1399-10-30
2021-01-27,7105.0,7105.0,7105.0,7105.0,6868957690,966778,20,7105.0,1399-11-08
2021-01-31,7460.0,7460.0,7460.0,7460.0,12045512800,1614680,33,7460.0,1399-11-12
2021-02-20,7833.0,7833.0,7833.0,7833.0,5751771900,734300,17,7833.0,1399-12-02
2021-02-22,7833.0,7833.0,7833.0,7833.0,391650000,50000,1,7833.0,1399-12-04
2021-03-02,7833.0,7833.0,7833.0,7833.0,5013120000,640000,26,7833.0,1399-12-12
2021-03-09,7833.0,7833.0,7833.0,7833.0,97285860,12420,1,7833.0,1399-12-19
2021-03-10,7833.0,7833.0,7833.0,7833.0,5075784,648,1,7833.0,1399-12-20
2021-03-14,8224.0,8224.0,8224.0,8224.0,5794893568,704632,19,8224.0,1399-12-24
2021-03-16,8635.0,8635.0,8635.0,8635.0,5468545500,633300,21,8635.0,1399-12-26
2021-03-28,8635.0,8635.0,8635.0,8635.0,5440050000,630000,13,8635.0,1400-01-08
2021-04-03,8635.0,8635.0,8635.0,8635.0,431750000,50000,1,8635.0,1400-01-14
